rho, V, psi_0, psi_1, psi_2, psi_3, psi_4, psi_5, psi_6, psi_7, psi_8, psi_9, psi_10, psi_11, psi_12, psi_13, psi_14, psi_15, psi_16, psi_17, psi_18, psi_19, psi_20, psi_21, psi_22, psi_23, psi_24, psi_25, psi_26, psi_27, psi_28, psi_29, psi_30, psi_31, psi_32, psi_33, psi_34, psi_35, psi_36, psi_37, psi_38, psi_39, psi_40, psi_41, psi_42, psi_43, psi_44, psi_45, psi_46, psi_47, psi_48, psi_49, psi_50, psi_51, psi_52, psi_53, psi_54, psi_55, psi_56, psi_57, psi_58, psi_59, psi_60, psi_61, psi_62, psi_63, psi_64, psi_65, psi_66, psi_67, psi_68, psi_69, psi_70, psi_71, psi_72, psi_73, psi_74, psi_75, psi_76, psi_77, psi_78, psi_79, psi_80, psi_81, psi_82, psi_83, psi_84, psi_85, psi_86, psi_87, psi_88, psi_89, psi_90, psi_91, psi_92, psi_93, psi_94, psi_95, psi_96, psi_97, psi_98, psi_99, E
2.9, 8.64781, 0.0386179, -0.158472, 0.247992, -0.0586983, -0.187706, 0.00443932, -0.162655, -0.106736, 0.0566859, 0.149655, 0.103146, -0.0229892, 0.122714, 0.129944, -0.0514549, 0.0543558, 0.122671, 0.11932, 0.0528594, 0.0374643, -0.105878, 0.122291, 0.0828377, -0.00677722, -0.0734614, 0.121846, 0.11149, 0.041712, -0.0541504, -0.122376, 0.119861, 0.0437404, 0.0617321, -0.129653, 0.113594, -0.0211835, 0.0870579, -0.136576, 0.0908966, 0.0199451, 0.117647, 0.130692, 0.0476599, -0.0715838, 0.138105, 0.100464, 0.0143615, 0.119006, -0.131782, 0.0411596, 0.082734, -0.14148, -0.0867522, -0.0388057, 0.133534, 0.118743, -0.00496798, -0.113876, 0.137153, -0.0432646, 0.0888243, -0.144566, -0.0732603, 0.0641503, 0.145051, 0.0940914, 0.0448097, 0.143263, 0.105848, 0.0353331, -0.143639, 0.107849, -0.0409107, -0.148991, 0.0951867, 0.0686794, 0.15538, 0.0511466, -0.123722, 0.130727, 0.0606544, -0.154296, -0.0486259, -0.105381, 0.146515, 0.209556, -0.11915, 0.0416501, 0.0100197, -0.00173455, -0.000219596, 2.03498e-05, 1.32928e-06, 8.8716e-08, 1.0961e-08, 3.63971e-08, 5.36992e-09, 1.62551e-08, 2.69735e-09, 6.81316e-10, 120.206,
3, 9.22222, 0.0303942, -0.136328, 0.246306, -0.114464, -0.164098, 0.0739146, -0.169741, -0.0370185, 0.12322, 0.141331, 0.0254504, -0.103149, 0.139868, 0.0697023, 0.0449516, 0.12333, 0.120414, 0.0461307, -0.0507741, 0.115933, -0.118278, 0.0614963, -0.0234846, 0.0963999, -0.123681, 0.0894303, 0.00579355, -0.0850467, -0.129549, -0.0961736, 0.000709697, -0.0977903, 0.133023, -0.0777242, -0.0330075, 0.12202, 0.123868, -0.0345261, -0.0817155, 0.137462, 0.0885082, -0.0295185, -0.125542, -0.123078, 0.0222336, -0.097376, 0.138664, 0.0663937, 0.0614136, -0.138862, 0.0999172, 0.0241557, 0.128437, -0.122599, 0.0100129, -0.112186, 0.135988, -0.0385367, -0.0944019, 0.142557, 0.0601962, 0.0787318, 0.145103, 0.0744995, -0.068328, -0.14626, 0.0809089, -0.066193, -0.147915, 0.0777066, 0.0755642, -0.149903, -0.0600905, 0.0995963, -0.146324, 0.0172683, -0.136736, -0.11509, 0.0667694, -0.155288, -0.00119726, 0.157361, 0.00402994, 0.125348, -0.112523, -0.216914, 0.138292, -0.0524328, -0.0134949, 0.00248101, 0.000332135, -3.24442e-05, -2.26563e-06, -1.44358e-07, -1.03673e-08, -2.24212e-08, 3.51626e-09, -1.75589e-08, 3.57962e-10, -5.38777e-09, 125.094,
3.1, 9.81812, 0.0236363, -0.115321, 0.236878, -0.162091, -0.122328, 0.132291, -0.144656, 0.0411691, 0.156735, 0.0896135, -0.0610504, -0.143613, 0.0977748, -0.0227587, 0.118847, 0.125804, 0.0486129, -0.0554643, -0.121208, 0.11419, -0.0443597, -0.0465064, -0.110888, 0.118216, -0.0646531, -0.0256222, -0.105502, -0.125856, -0.0680851, 0.0361923, -0.11926, -0.12168, 0.0374365, 0.0758036, -0.134688, 0.0924756, -0.0215888, 0.120282, -0.124771, 0.0290486, -0.0913051, -0.137724, -0.0700446, 0.0570716, -0.136835, -0.100073, -0.0234338, -0.127441, 0.120187, -0.00635549, -0.113957, 0.132439, 0.0307557, 0.0997984, -0.139129, -0.0492176, -0.0875491, 0.142413, -0.0616154, -0.0792318, -0.14407, 0.0677573, -0.0765764, -0.145271, -0.0668677, 0.0812263, -0.146116, -0.0569165, 0.0946798, -0.144568, 0.0337307, 0.117297, 0.133929, -0.00961699, 0.144125, -0.097635, 0.0793083, 0.150726, 0.00422416, 0.15239, -0.0584344, -0.141915, 0.0409434, -0.135799, 0.0723499, 0.21832, -0.157992, 0.0652531, 0.0180087, -0.00352121, -0.00049891, 5.14164e-05, 3.8047e-06, 2.16528e-07, 1.00683e-08, 1.80981e-08, -1.1102e-08, 3.65424e-09, -2.01908e-08, 4.28905e-09, 130.118,
3.2, 10.4353, 0.018164, -0.0959886, 0.221466, -0.199191, -0.0677719, 0.171619, -0.093047, 0.110191, 0.149217, 0.0109353, -0.126805, -0.129694, 0.0148677, -0.10484, 0.13396, 0.0612182, -0.0509637, -0.123249, -0.113135, 0.0341451, 0.0616583, -0.119095, -0.109643, 0.0409888, 0.0510844, -0.117157, -0.115486, -0.0402509, 0.0648877, 0.12883, -0.102488, 6.03431e-05, -0.104883, 0.13071, -0.0538961, -0.0674187, -0.135412, 0.0920347, 0.0292219, -0.126929, -0.116246, -0.00414146, 0.112621, 0.13016, -0.0308933, 0.0971607, -0.137276, -0.05099, -0.0833632, 0.140416, -0.06501, -0.0729095, -0.141656, 0.0735656, 0.0668692, 0.142384, -0.0769659, -0.0660406, 0.143324, -0.0749642, 0.0711376, -0.144416, -0.0665006, 0.0827846, 0.144428, 0.049398, 0.101141, 0.140087, 0.0201422, 0.124625, -0.124417, -0.0255452, -0.146401, -0.0843405, -0.0885003, 0.145844, 0.00110344, -0.14836, -0.0743034, -0.121605, 0.109186, 0.108898, -0.0818295, 0.135101, -0.0277568, -0.212388, 0.177353, -0.0802068, -0.0237975, 0.00495658, 0.000744108, -8.09847e-05, -6.31024e-06, -3.81968e-07, -1.14283e-08, -1.23189e-08, -4.81802e-09, 9.11621e-09, 2.85274e-08, 6.94214e-09, 135.268,
3.3, 11.0737, 0.0137956, -0.0786619, 0.201872, -0.224627, -0.00656542, 0.187331, -0.0249707, 0.155385, 0.103588, -0.070963, -0.150279, -0.0674919, -0.0741506, -0.139777, 0.0836703, -0.0356083, -0.121747, -0.116689, -0.032506, -0.0690951, 0.123453, -0.101755, -0.0214452, -0.0703183, 0.12234, -0.101906, -0.0153093, 0.085527, 0.130124, 0.0808728, 0.031141, 0.121728, -0.116944, 0.0163966, 0.0995686, -0.132713, -0.0516818, -0.0756913, 0.137252, -0.075882, 0.0552481, 0.136686, 0.0915393, -0.0400903, 0.134683, 0.100902, 0.0306918, 0.133278, -0.105495, -0.0270751, 0.133456, -0.106065, 0.0292256, -0.135473, 0.102604, -0.0372353, 0.138945, -0.0943389, -0.0512685, 0.142706, 0.0796759, 0.0713171, 0.144412, 0.0561684, -0.096579, -0.139818, 0.0207471, -0.124063, -0.121734, -0.029057, 0.145673, -0.0792501, 0.0908564, 0.142871, -0.000494764, -0.145086, -0.0811884, 0.107642, 0.127824, 0.0677906, -0.142646, -0.0617043, 0.114025, -0.122451, -0.0187093, 0.197963, -0.195201, 0.0972707, 0.0311192, -0.0069166, -0.00110153, 0.000126664, 1.03865e-05, 6.31496e-07, 2.17675e-08, 7.22188e-10, 5.73722e-09, -1.21441e-08, -1.42944e-08, 3.4054e-09, 140.536,
3.4, 11.733, 0.0103566, -0.0634977, 0.179798, -0.238391, 0.055242, 0.1785, 0.0473602, 0.168002, 0.0321838, -0.132432, -0.124635, 0.0193919, -0.133179, -0.112779, -0.00691762, -0.113916, -0.124547, -0.0405109, 0.068755, -0.125853, 0.0975157, -0.00825069, 0.0836181, -0.123624, 0.0878752, 0.00555776, 0.0993701, 0.126508, 0.060382, -0.054809, 0.129468, 0.0992885, 0.0154624, -0.119037, 0.119432, -0.0126621, 0.107106, -0.129206, 0.0303038, 0.0984304, 0.133747, 0.0393214, -0.0945463, -0.135655, 0.0411646, -0.0956342, 0.135856, 0.0366102, 0.101261, -0.134148, 0.0258618, 0.110578, 0.129474, -0.00876211, -0.122236, -0.120021, -0.0149024, 0.134092, -0.103283, -0.0449271, -0.142736, 0.0762065, -0.0798572, -0.142869, -0.0357679, 0.11552, -0.126721, 0.0193734, 0.142561, -0.0843351, -0.0846749, 0.143057, 0.00749754, -0.140448, 0.0893, 0.0946582, 0.136691, -0.0383871, -0.152017, -0.000690884, 0.152577, 0.00607038, -0.133358, 0.0981599, 0.0637896, -0.174314, 0.210098, -0.116252, -0.0402402, 0.00956321, 0.00161782, -0.00019679, -1.703e-05, -1.06691e-06, -4.8818e-08, 6.3593e-09, 8.0152e-09, 2.23833e-08, 1.75432e-08, 7.84856e-09, 145.913,
3.5, 12.4133, 0.00768576, -0.050511, 0.156738, -0.24139, 0.112368, 0.147499, 0.111944, 0.14654, -0.0470093, -0.156678, -0.0591035, 0.0993162, -0.13925, -0.0365776, -0.0942209, -0.133755, -0.0586487, 0.0595609, 0.126843, -0.0988009, 0.00294299, 0.0913734, 0.123488, -0.0758002, -0.0219298, 0.10803, 0.120592, 0.0429219, -0.0715841, -0.131411, 0.0819101, -0.0400186, 0.128872, -0.101957, -0.0201457, 0.124986, 0.111071, 0.0113602, -0.123903, 0.113519, -0.0119709, -0.126298, -0.110851, 0.0205749, -0.131264, -0.103, -0.0360548, -0.136979, 0.0890048, 0.0572164, -0.140866, 0.0675459, -0.0823142, 0.139605, -0.0374744, 0.108502, -0.129193, -0.00147591, 0.131232, -0.105267, 0.0476181, -0.143684, -0.0640215, 0.0956896, 0.136578, 0.00434517, 0.134632, 0.0992943, -0.0678358, 0.145421, -0.0247103, -0.1319, -0.102268, 0.0771487, -0.143237, -0.0111811, -0.149875, -0.041305, 0.140298, -0.0665489, -0.136302, 0.0504352, 0.136741, -0.063869, -0.103711, 0.141359, -0.220389, 0.136735, 0.0514142, -0.013094, -0.00235646, 0.000303545, 2.77783e-05, 1.82183e-06, 9.20104e-08, 3.59642e-09, 9.48104e-10, -2.66199e-08, -1.60371e-08, -1.47043e-08, 151.391,
3.6, 13.1143, 0.00563891, -0.0396108, 0.133918, -0.235179, 0.160761, 0.0992102, 0.159, 0.096379, -0.115155, -0.137983, 0.0249292, 0.144293, -0.0909247, 0.055326, -0.137446, -0.0858804, 0.0391886, 0.124921, 0.106173, -0.00664714, -0.0936805, 0.123866, 0.0679449, 0.0334998, -0.113087, 0.114241, 0.0292433, -0.082627, -0.130284, -0.0672831, -0.0573708, -0.132502, 0.0848595, 0.0450379, -0.13297, 0.089807, -0.0447394, 0.134942, -0.0857516, -0.0542286, -0.137705, -0.0735722, 0.0711273, 0.138759, -0.0529883, 0.0926532, -0.134685, -0.0237232, -0.115131, 0.121694, 0.0135145, -0.133634, -0.0962994, -0.0560894, 0.141941, 0.0563554, 0.0985384, -0.133048, 0.00260106, 0.131911, 0.100603, 0.0592314, 0.143857, 0.0418297, -0.116008, -0.120585, -0.0374135, -0.145626, -0.0528318, -0.115295, 0.119802, 0.0507013, 0.147439, 0.0201307, 0.140241, -0.0762781, 0.115609, 0.109476, -0.09445, 0.119828, 0.095661, -0.0993454, -0.122811, 0.0226241, 0.134517, -0.0998663, 0.224303, -0.158025, -0.0648507, 0.0177437, 0.00340237, -0.000464697, -4.49829e-05, -3.07633e-06, -1.59634e-07, -5.9999e-09, -1.90399e-08, 1.99607e-08, 4.04221e-09, 2.92552e-10, 156.964,
3.7, 13.8361, 0.00409052, -0.0306325, 0.112268, -0.221694, 0.197819, 0.0400104, 0.18231, 0.0280393, -0.15707, -0.082467, 0.101338, 0.139537, -0.00773795, 0.123879, -0.117363, 0.00485167, 0.115967, 0.118378, 0.0203445, 0.0898386, -0.1257, 0.066249, -0.0396052, 0.115872, -0.108898, 0.019479, -0.0891928, -0.127992, -0.0565798, 0.0684133, -0.132822, -0.0709101, -0.0621997, 0.13497, -0.070172, -0.0689062, -0.136515, 0.0577467, 0.0849099, -0.135026, -0.0345461, 0.105814, 0.126391, 0.00136143, 0.126108, 0.10635, 0.0394552, 0.13904, -0.071894, -0.0828278, 0.137186, -0.0228969, 0.12043, -0.113955, -0.0361345, -0.141163, 0.0661137, 0.0946515, -0.133208, -0.00278109, -0.135906, 0.0882797, -0.078749, -0.139556, -0.00849844, 0.135352, -0.0892894, 0.0848187, 0.137337, 0.0120201, -0.144728, 0.0577866, -0.120039, -0.108398, -0.0804899, 0.13602, -0.0439073, -0.146323, 0.0249454, -0.147103, -0.0372285, 0.132577, 0.0924451, 0.0212474, -0.152529, 0.0516205, -0.220108, 0.179107, 0.080673, -0.0237814, -0.00486743, 0.000705762, 7.23135e-05, 5.19627e-06, 2.57525e-07, 1.76658e-09, 1.72425e-08, -1.35916e-08, 5.03709e-09, -8.38438e-11, 162.624,
3.8, 14.5785, 0.0029341, -0.023368, 0.092434, -0.202997, 0.222398, -0.0232927, 0.179744, -0.0453811, -0.164372, -0.00555706, 0.14751, 0.0877233, 0.0783582, 0.141067, -0.0440945, 0.0931986, 0.131291, 0.0445783, -0.0778179, 0.128443, -0.0719686, -0.0390707, -0.117134, 0.105965, -0.0137028, -0.0923545, -0.125675, -0.0500999, 0.0742054, 0.131847, -0.0614847, 0.0726113, -0.13419, 0.0548971, 0.0847864, -0.133347, -0.0339131, -0.10494, 0.124993, -0.000324577, 0.125778, 0.103818, -0.0425747, -0.138534, 0.066194, -0.0880181, 0.133982, 0.0126782, 0.125282, -0.104877, -0.0498533, 0.141114, 0.0495268, 0.107357, -0.12347, 0.0244084, -0.14037, 0.067464, 0.0976467, -0.129653, 0.0176573, -0.141152, -0.0662877, 0.103485, 0.125327, -0.0352136, 0.144962, 0.039021, -0.126818, 0.0989698, 0.0838165, -0.134742, 0.032663, 0.147334, -0.0124319, -0.145326, -0.0423385, 0.140215, 0.0509924, 0.141365, -0.0284042, -0.143903, -0.0490205, -0.0624944, 0.154903, 0.000499076, 0.206321, -0.198624, -0.0988642, 0.0315029, 0.00689596, -0.00106297, -0.000115409, -8.73014e-06, -4.26945e-07, -4.51916e-09, 6.50454e-09, 8.67532e-10, 1.33335e-08, -8.68314e-09, 168.363,
3.9, 15.3415, 0.00208122, -0.0175892, 0.0747997, -0.181077, 0.234644, -0.0843846, 0.153039, -0.110925, -0.136707, 0.0727521, 0.150791, 0.00699517, 0.13559, 0.10084, 0.0488205, 0.136439, 0.0780399, -0.054209, -0.129395, 0.0852744, 0.0303105, -0.116556, -0.106769, 0.0124775, 0.0928391, -0.123951, -0.04764, 0.0756565, 0.130695, 0.0570203, 0.0773337, 0.132792, -0.045251, -0.0939035, 0.129038, -0.0163691, 0.116718, -0.113069, -0.0261908, 0.134892, 0.0789278, -0.0753477, -0.136334, -0.0253476, -0.118672, -0.110858, -0.0408209, -0.13995, 0.0551605, 0.103321, -0.124361, -0.0221269, -0.139287, 0.0664746, 0.0983059, 0.127385, 0.0216317, -0.140882, 0.060468, 0.107028, 0.120676, 0.0416276, 0.143538, 0.0325901, -0.127984, -0.0950875, -0.0842111, -0.133565, 0.0275849, -0.145679, 0.0274462, 0.137146, 0.0712814, -0.118096, 0.100135, 0.0996359, 0.114237, -0.0918761, -0.11339, -0.102821, 0.0883266, 0.130351, -0.00170253, 0.0955451, -0.140212, -0.0525773, -0.18197, 0.21489, 0.119204, -0.0412147, -0.00967018, 0.00158696, 0.000182731, 1.45694e-05, 7.58035e-07, -2.73066e-08, 2.12142e-09, 1.34917e-08, -7.72818e-09, 6.61048e-09, 174.176,
4, 16.125, 0.00145996, -0.0130665, 0.0595316, -0.157701, 0.235716, -0.138127, 0.10698, -0.158085, -0.0810305, 0.133313, 0.111411, -0.0759838, 0.143938, 0.0203604, 0.120366, 0.114715, -0.0153603, -0.123035, -0.104525, -0.011516, 0.112381, -0.111917, -0.0171228, -0.0907543, 0.123231, -0.04883, 0.0734317, 0.129725, 0.0573535, -0.0771532, 0.131882, 0.0415994, 0.0976018, -0.125878, 0.00581384, 0.122751, 0.102964, 0.0444468, -0.137502, 0.0569099, -0.0973098, -0.12652, 0.00966752, 0.133946, -0.0804562, 0.0814721, -0.133886, -0.0037252, -0.132217, 0.085497, 0.0808717, -0.134227, 0.00241566, -0.136235, 0.0747397, -0.0953191, 0.127018, 0.0279737, -0.142218, 0.0444366, -0.120799, 0.103167, -0.0728805, -0.136916, 0.0130447, 0.143195, -0.0448326, 0.126786, 0.0911607, 0.096628, -0.122006, -0.0625933, -0.138509, 0.0332863, -0.145023, -0.0154605, -0.146529, 0.0151452, 0.144792, 0.0396117, -0.1298, -0.0932453, 0.0521588, -0.115316, 0.108977, 0.099897, 0.146875, -0.225954, -0.141201, 0.0532072, 0.0134143, -0.00234753, -0.000286977, -2.42077e-05, -1.35565e-06, 7.29186e-08, -2.41502e-08, -1.32156e-08, -2.24082e-08, -3.20548e-09, 180.056,
4.1, 16.929, 0.0010129, -0.00958198, 0.0466253, -0.134324, 0.22746, -0.180951, 0.0482526, -0.180316, -0.00940264, 0.162422, 0.0414063, -0.135124, 0.10155, -0.0680825, 0.140194, 0.0392921, -0.100982, -0.12485, -0.0187411, -0.101158, 0.120427, -0.0293228, 0.0850998, -0.123844, 0.0535354, 0.0679388, 0.128757, 0.0619167, -0.0725006, -0.131646, 0.0437808, -0.0966793, 0.124953, -0.00225845, -0.124909, 0.0968167, -0.0549754, 0.137205, -0.0405876, -0.110562, -0.114809, 0.0362104, 0.138745, 0.0506659, 0.108355, 0.116324, 0.0400602, 0.140159, -0.0395997, -0.11867, 0.10484, 0.0628227, 0.138406, -0.00838543, -0.134753, -0.0750899, -0.0990141, 0.122157, 0.043217, -0.142052, -0.0184006, -0.134938, -0.0734622, 0.106758, 0.113985, -0.0663738, 0.137158, -0.0228072, -0.144689, 0.0167168, 0.141337, -0.0475857, 0.133277, 0.0674539, 0.126735, -0.0748111, 0.126841, 0.0663876, -0.13545, 0.033419, 0.143118, 0.0385398, -0.0940213, 0.118133, -0.0640072, -0.137372, -0.101927, 0.229733, 0.164026, -0.0677164, -0.018396, 0.0034392, 0.000446918, 3.9916e-05, 2.38232e-06, -1.04098e-07, 2.14571e-08, 1.48552e-08, 1.67433e-08, 2.15928e-09, 185.995,
4.2, 17.7534, 0.000695092, -0.00693773, 0.0359532, -0.112054, 0.212076, -0.210962, -0.0157918, -0.175599, 0.0639987, 0.154551, -0.0396391, -0.152985, 0.0242043, -0.130457, 0.10094, -0.0541998, -0.136295, -0.0596942, 0.07781, -0.128837, 0.0501428, 0.0734542, 0.125518, -0.0622374, -0.0592002, 0.127321, 0.0698627, -0.0635521, -0.131514, -0.0512641, -0.0913154, -0.126325, 0.00546627, 0.124134, -0.0955492, -0.0585011, -0.136384, 0.0311941, 0.117456, -0.105089, 0.0540297, 0.138019, 0.0260809, -0.123952, 0.0952431, -0.0727092, 0.134443, -0.00295883, 0.136552, -0.0651705, -0.105314, 0.115698, -0.0517756, 0.139742, -0.0101368, 0.135896, -0.0675125, -0.108737, 0.111066, 0.0663532, 0.136226, 0.017767, 0.14291, 0.0291424, -0.134426, -0.0689017, -0.116019, -0.0988446, 0.0935123, -0.118801, -0.072353, 0.130288, -0.0572233, -0.135355, -0.0521943, 0.134968, -0.0611103, -0.126324, 0.0868749, -0.0978885, -0.124213, 0.0237576, 0.119618, -0.102607, 0.0104422, 0.160177, 0.0493024, -0.224211, -0.186459, 0.0848704, 0.0249232, -0.00498755, -0.000689883, -6.53107e-05, -4.12508e-06, 1.73495e-07, -1.66809e-08, -2.39053e-08, -7.94921e-09, 1.62512e-08, 191.988,
4.3, 18.5982, 0.000471831, -0.00496045, 0.0273075, -0.0916544, 0.191838, -0.227817, -0.0782296, -0.146122, 0.12587, 0.112798, -0.11045, -0.125402, -0.0612694, -0.143984, 0.0200002, -0.123225, -0.104859, 0.036978, 0.130315, -0.0786883, -0.0523332, 0.126293, 0.075838, 0.0464323, -0.124842, 0.0802338, -0.0504164, -0.130374, -0.0631358, 0.0812055, -0.129165, -0.0150933, -0.120398, 0.0991603, 0.0554591, -0.136133, -0.0290833, -0.119745, 0.0995911, 0.063879, 0.135633, 0.00878809, -0.131805, -0.076164, -0.0945534, -0.122415, -0.0370522, -0.140043, 0.025808, 0.129283, -0.0811771, -0.0959696, -0.120378, -0.0488662, 0.139528, 0.00280199, 0.139017, -0.0511845, -0.122337, 0.0908617, -0.0946625, 0.119165, -0.0615628, -0.135931, 0.0280275, 0.142915, -0.00207703, 0.143068, 0.026125, 0.139855, -0.0424514, -0.13666, -0.049721, 0.136216, -0.045955, -0.139653, -0.0273186, 0.144099, -0.0124036, 0.136454, 0.0762903, -0.0811744, -0.123509, 0.070282, 0.0446131, -0.164524, 0.00745282, 0.207716, 0.206873, -0.104622, -0.0333338, 0.00715607, 0.00105523, 0.000106048, 7.07818e-06, -2.91361e-07, 9.33616e-09, 2.10662e-08, 6.73754e-09, -1.92786e-08, 198.027,
4.4, 19.4633, 0.000316822, -0.00350296, 0.0204373, -0.0735772, 0.16887, -0.232436, -0.133386, -0.0973062, 0.166152, 0.0472921, -0.1537, -0.0616549, -0.126699, -0.104843, -0.0690265, -0.137691, -0.0229768, 0.114447, 0.110179, 0.018314, -0.121664, 0.0943634, -0.0276231, 0.120392, -0.0922514, -0.0332535, -0.126833, -0.0780138, 0.0658531, 0.131867, -0.0305767, 0.11284, -0.106836, -0.0458695, 0.13634, -0.0341674, 0.118207, -0.0992564, -0.0665648, 0.134018, -0.000580054, -0.135078, -0.0622949, 0.107625, -0.109763, 0.0613941, -0.135593, 0.00724268, -0.138935, 0.045237, 0.122851, -0.0890338, 0.0926479, -0.120144, -0.0543692, -0.137363, -0.0136571, 0.141702, -0.0249758, -0.135665, -0.0584784, -0.122527, -0.0852766, 0.105758, 0.105059, -0.0886213, 0.118419, -0.0739831, -0.12641, -0.0643083, 0.130004, 0.0617858, 0.129394, -0.0684323, 0.122921, 0.0857334, 0.105364, -0.112534, -0.0658724, -0.13773, -0.00988623, 0.121213, 0.103921, -0.0258427, -0.092915, 0.148487, -0.0635193, -0.17926, -0.223257, 0.126671, 0.043975, -0.0101526, -0.00159864, -0.000170824, -1.20619e-05, 4.97957e-07, -1.41968e-08, -2.2954e-08, -8.4133e-09, 7.64184e-09, 204.107,
4.5, 20.3488, 0.000210467, -0.00244359, 0.0150768, -0.058016, 0.144993, -0.226629, -0.177307, -0.0364736, 0.179408, -0.0277536, -0.159956, 0.0193275, -0.151802, -0.0282797, -0.130755, -0.0924119, 0.069756, 0.133496, 0.0296025, 0.104574, -0.115017, -6.77402e-05, -0.11174, 0.10542, 0.0121103, -0.119515, -0.094029, 0.0449731, 0.132206, 0.0508501, 0.100039, 0.11691, 0.0295018, -0.13577, 0.0460264, 0.112572, 0.104008, 0.062449, -0.134195, -0.00199973, -0.135867, -0.0551924, 0.114137, 0.100188, 0.0767257, 0.128633, 0.0316448, 0.139885, -0.0142079, -0.135857, 0.0557243, 0.119919, 0.0897417, 0.0959856, -0.114873, 0.0678613, -0.131164, -0.0388237, 0.139692, 0.0114258, 0.142174, -0.0125341, 0.140641, 0.0319115, -0.137177, -0.0460192, -0.133726, -0.0543504, 0.131937, -0.0562264, -0.13295, 0.0503678, -0.136951, -0.034443, -0.142136, 0.00492308, -0.142429, 0.0414398, 0.123359, 0.100148, -0.0590004, -0.134228, -0.0636574, -0.0232799, 0.126329, -0.11274, 0.113153, 0.138893, 0.233314, -0.150379, -0.0571695, 0.0142338, 0.00239761, 0.000272796, 2.04202e-05, -9.03885e-07, 1.99106e-08, 2.88991e-08, 1.52968e-08, 1.82169e-09, 210.22,
4.6, 21.2545, 0.000138327, -0.00168407, 0.0109666, -0.044964, 0.121649, -0.21271, -0.207901, 0.028533, 0.165106, -0.0974521, -0.129163, 0.0950821, -0.129963, 0.0581212, -0.141958, -0.00787151, 0.130179, 0.0856104, -0.066945, 0.13044, -0.0375852, -0.0944547, -0.118617, 0.0135305, 0.10716, -0.10901, 0.018896, 0.127653, 0.0740086, -0.0804833, 0.126775, -0.00629221, 0.132203, -0.0637221, -0.101663, 0.112814, -0.0513395, 0.135871, -0.00441227, -0.13496, -0.0553953, 0.115618, 0.0956992, -0.0843542, 0.12292, -0.0472002, 0.137142, -0.00901612, 0.139993, -0.0267232, -0.133892, 0.0578633, -0.121511, 0.0833687, 0.105419, 0.103068, 0.0878919, -0.117394, -0.0708251, 0.127154, -0.0557445, 0.133322, -0.0438689, -0.136856, 0.0362158, 0.13852, 0.033725, 0.138666, -0.0373677, 0.136917, 0.0481674, -0.131675, 0.0669394, 0.119344, 0.0932853, -0.0934254, 0.122807, 0.0445858, -0.140797, -0.033404, 0.112537, 0.116102, 0.0101516, 0.0679727, -0.138356, 0.0610057, -0.150301, -0.0880404, -0.234646, 0.174696, 0.0731656, -0.0197068, -0.00355817, -0.000431708, -3.43178e-05, 1.64201e-06, -3.1326e-08, -3.48152e-08, -2.02202e-09, 1.31769e-09, 216.361,
4.7, 22.1805, 8.9946e-05, -0.00114683, 0.00786741, -0.0342733, 0.0998785, -0.193147, -0.224792, 0.0905385, 0.126972, -0.149277, -0.0696482, 0.145999, -0.069139, 0.124841, -0.0996203, 0.0799402, 0.131512, -0.00440731, -0.127995, 0.0821827, 0.06263, -0.12801, -0.0445985, -0.0881058, 0.120802, -0.0112519, 0.115895, 0.0971064, -0.0532262, -0.132923, 0.0230426, -0.122702, 0.0853993, 0.0837443, -0.123562, -0.0327125, -0.13749, 0.0184711, 0.13182, -0.0627864, 0.112532, 0.0970291, -0.0852429, -0.120562, -0.0545094, -0.134279, -0.0236635, -0.139854, 0.00508375, 0.139251, -0.0304366, -0.134423, -0.0517866, -0.127155, 0.0690005, -0.118994, 0.0822341, 0.111241, -0.0917753, -0.104967, -0.0979048, -0.101049, -0.100764, 0.100188, 0.100214, -0.102896, 0.0956678, -0.109391, -0.0858973, -0.119317, 0.068845, 0.131122, 0.0416062, -0.14086, 0.00110111, 0.140183, -0.0531704, -0.114134, 0.111221, -0.0433762, -0.135753, -0.0699657, 0.0455599, -0.0991021, 0.12568, -5.58608e-05, 0.169474, 0.0297252, 0.22503, -0.198101, -0.0920695, 0.0269243, 0.00522244, 0.000676728, 5.72466e-05, -2.96029e-06, 4.84414e-08, 7.71804e-08, 1.6558e-08, 7.79651e-09, 222.522,
